name,num_total_running_mean,num_total_running_std,num_total_running_max,num_total_running_min,num_total_sleeping_mean,num_total_sleeping_std,num_total_sleeping_max,num_total_sleeping_min,num_total_zombie_mean,num_total_zombie_std,num_total_zombie_max,num_total_zombie_min,num_total_stopped_mean,num_total_stopped_std,num_total_stopped_max,num_total_stopped_min,cpu_%_us_mean,cpu_%_us_std,cpu_%_us_max,cpu_%_us_min,cpu_%_sy_mean,cpu_%_sy_std,cpu_%_sy_max,cpu_%_sy_min,cpu_%_ni_mean,cpu_%_ni_std,cpu_%_ni_max,cpu_%_ni_min,cpu_%_id_mean,cpu_%_id_std,cpu_%_id_max,cpu_%_id_min,cpu_%_wa_mean,cpu_%_wa_std,cpu_%_wa_max,cpu_%_wa_min,cpu_%_hi_mean,cpu_%_hi_std,cpu_%_hi_max,cpu_%_hi_min,cpu_%_si_mean,cpu_%_si_std,cpu_%_si_max,cpu_%_si_min,cpu_%_st_mean,cpu_%_st_std,cpu_%_st_max,cpu_%_st_min,mem_total_mean,mem_total_std,mem_total_max,mem_total_min,mem_used_mean,mem_used_std,mem_used_max,mem_used_min,mem_free_mean,mem_free_std,mem_free_max,mem_free_min,mem_buffers_mean,mem_buffers_std,mem_buffers_max,mem_buffers_min,swap_total_mean,swap_total_std,swap_total_max,swap_total_min,swap_used_mean,swap_used_std,swap_used_max,swap_used_min,swap_free_mean,swap_free_std,swap_free_max,swap_free_min,swap_cache_mean,swap_cache_std,swap_cache_max,swap_cache_min,label
8c7f37256dfc94e8586eb7284995134c_1590148409,3.0,1.632993161855452,5.0,1.0,51.0,0.816496580927726,52.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.03333333333334,0.12472191289246648,58.2,57.9,36.833333333333336,0.09428090415820434,36.9,36.7,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.10000000000000002,1.3877787807814457e-17,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,125788.0,0.0,125788.0,125788.0,71794.66666666667,1881.055968214544,74436.0,70200.0,53993.333333333336,1881.055968214544,55588.0,51352.0,7602.666666666667,1.8856180831641267,7604.0,7600.0,496636.0,0.0,496636.0,496636.0,496636.0,0.0,496636.0,496636.0,0.0,0.0,0.0,0.0,25054.666666666668,53.19983291536001,25100.0,24980.0,1
d77acb6abea3d1e728fe35b8457354d3_1590197491,2.5,1.5,4.0,1.0,56.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.75,0.14999999999999858,59.9,59.6,37.9,0.10000000000000142,38.0,37.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.04999999999999993,1.4,1.3,0.0,0.0,0.0,0.0,121816.0,0.0,121816.0,121816.0,55412.0,1772.0,57184.0,53640.0,66404.0,1772.0,68176.0,64632.0,7948.0,0.0,7948.0,7948.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34720.0,28.0,34748.0,34692.0,1
db10dd152b4f5244f7591b06750cafa9_1590203207,3.5,1.5,5.0,2.0,57.5,1.5,59.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.45,0.15000000000000213,59.6,59.3,38.05,0.15000000000000213,38.2,37.9,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.3,0.0,1.3,1.3,0.0,0.0,0.0,0.0,121852.0,0.0,121852.0,121852.0,53252.0,264.0,53516.0,52988.0,68600.0,264.0,68864.0,68336.0,7704.0,0.0,7704.0,7704.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34768.0,56.0,34824.0,34712.0,1
15375bf7478c2fa78f50e2184fbdc466_1589903836,2.0,1.0,3.0,1.0,56.5,0.5,57.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.6,0.10000000000000142,59.7,59.5,38.0,0.10000000000000142,38.1,37.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.3,0.0,1.3,1.3,0.0,0.0,0.0,0.0,121816.0,0.0,121816.0,121816.0,55488.0,1772.0,57260.0,53716.0,66328.0,1772.0,68100.0,64556.0,7898.0,2.0,7900.0,7896.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34720.0,28.0,34748.0,34692.0,1
00b6f519d930e21f86c78f1808bcac13_1589903116,2.0,1.0,3.0,1.0,56.5,0.5,57.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,0.10000000000000142,59.5,59.3,38.4,0.10000000000000142,38.5,38.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,121852.0,0.0,121852.0,121852.0,54908.0,1828.0,56736.0,53080.0,66944.0,1828.0,68772.0,65116.0,7704.0,0.0,7704.0,7704.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,35452.0,16.0,35468.0,35436.0,1
a31fc3dea96efd50c9be089a739c3c55_1590127744,2.0,1.0,3.0,1.0,56.5,0.5,57.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,0.09999999999999788,59.3,59.1,38.5,0.10000000000000142,38.6,38.4,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.2,0.0,1.2,1.2,0.0,0.0,0.0,0.0,121816.0,0.0,121816.0,121816.0,53080.0,1744.0,54824.0,51336.0,68736.0,1744.0,70480.0,66992.0,7952.0,0.0,7952.0,7952.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,36918.0,62.0,36980.0,36856.0,1
ba2352693df6aab881f4814a56f99427_1590156669,3.0,1.0,4.0,2.0,58.5,2.5,61.0,56.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,59.3,0.09999999999999788,59.4,59.2,38.35,0.14999999999999858,38.5,38.2,0.0,0.0,0.0,0.0,1.05,0.050000000000000044,1.1,1.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.15,0.04999999999999993,1.2,1.1,0.0,0.0,0.0,0.0,121816.0,0.0,121816.0,121816.0,52974.0,122.0,53096.0,52852.0,68842.0,122.0,68964.0,68720.0,7952.0,4.0,7956.0,7948.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34686.0,66.0,34752.0,34620.0,1
7712769d2c8cb011ea408ff26e9dfe87_1589985995,2.5,1.5,4.0,1.0,51.0,1.0,52.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.10000000000000142,58.6,58.4,36.25,0.04999999999999716,36.3,36.2,0.0,0.0,0.0,0.0,3.95,0.050000000000000044,4.0,3.9,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.2,0.0,1.2,1.2,0.0,0.0,0.0,0.0,125788.0,0.0,125788.0,125788.0,67560.0,1888.0,69448.0,65672.0,58228.0,1888.0,60116.0,56340.0,7628.0,8.0,7636.0,7620.0,496636.0,0.0,496636.0,496636.0,496636.0,0.0,496636.0,496636.0,0.0,0.0,0.0,0.0,30148.0,64.0,30212.0,30084.0,1
23bdeaa11c3f5108cb02b158319d87f1_1589923985,2.0,1.0,3.0,1.0,56.5,0.5,57.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.6,0.10000000000000142,59.7,59.5,38.1,0.10000000000000142,38.2,38.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,121852.0,0.0,121852.0,121852.0,55650.0,1702.0,57352.0,53948.0,66202.0,1702.0,67904.0,64500.0,7704.0,0.0,7704.0,7704.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34780.0,56.0,34836.0,34724.0,1
76b66b3c172eda03700d2d564c5c3977_1589985142,2.0,1.0,3.0,1.0,57.0,1.0,58.0,56.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,59.7,0.09999999999999788,59.8,59.6,38.15,0.14999999999999858,38.3,38.0,0.0,0.0,0.0,0.0,0.95,0.04999999999999999,1.0,0.9,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,121852.0,0.0,121852.0,121852.0,55758.0,1710.0,57468.0,54048.0,66094.0,1710.0,67804.0,64384.0,7704.0,4.0,7708.0,7700.0,492540.0,0.0,492540.0,492540.0,492540.0,0.0,492540.0,492540.0,0.0,0.0,0.0,0.0,34556.0,68.0,34624.0,34488.0,1
